No,Model,Type,Diagnoses,Score,Verdict
1,Head MRI,MRI,Enhancing brain tumour,0.986,Reliable
2,Chest CT - Lung Tumour,CT,Lung tumour,0.979,Reliable
3,Chest X-ray - Triage,X-ray,Normal / abnormal,0.965,Reliable
4,Head MRA,MRA,Intracranial aneurysm,0.946,Reliable
5,Colon CT,CT,Colon tumour,0.914,Reliable
6,Chest CT - Nodule,CT,Malignant nodule,0.908,Reliable
7,Hand & Wrist X-ray,X-ray,"Fracture, osteopenia, cast, metal",0.904,Reliable
8,Kidney CT,CT,Kidney tumour,0.891,Reliable
9,Abdomen CT - Adrenal,CT,Adrenal mass,0.888,Reliable
10,Leg & Foot X-ray,X-ray,Benign / malignant bone lesion,0.858,Reliable
11,Shoulder X-ray,X-ray,Shoulder abnormality,0.777,Confirm each finding
12,Chest CT - COVID,CT,Lung involvement,0.756,Confirm each finding
13,Pelvis & Hip X-ray,X-ray,Bone lesion,0.686,Too weak
14,Rib CT,CT,"Rib fracture, three types",0.696,Too weak
15,Chest X-ray - Findings,X-ray,Eight chest findings,0.678,Too weak
16,Spine X-ray,X-ray,"Cervical curvature, three types",0.676,Too weak
17,Shoulder Fracture X-ray,X-ray,Shoulder fracture,0.664,Disabled in code
18,Liver CT,CT,Liver tumour,0.609,Too weak
